line_no,text,lg,l_id,folio,col,speaker
1,Il eſt aucuns folz qui ſe plaint,1,l-311r-1-1,311r,1,
2,Par maint grief plaint,1,l-311r-1-2,311r,1,
3,En mo[n]ſtrant plaint,1,l-311r-1-3,311r,1,
4,Qu'amours en li seruant l'amoꝛt,1,l-311r-1-4,311r,1,
5,Si toſt qu'en ſon seruice maint,1,l-311r-1-5,311r,1,
6,J'en connois maint,1,l-311r-1-6,311r,1,
7,Qui ſe remaint,1,l-311r-1-7,311r,1,
8,D'amer en deſirant la moꝛt,1,l-311r-1-8,311r,1,
9,Mais le cuer qui a ce ſ'amoꝛt,1,l-311r-1-9,311r,1,
10,Amours connoiſt bien ſ'il ſe faint,1,l-311r-1-10,311r,1,
11,Car en depoꝛt,1,l-311r-1-11,311r,1,
12,Sanz nul deſpoꝛt,1,l-311r-1-12,311r,1,
13,Vit li cuers qui amours achaint,1,l-311r-1-13,311r,1,
14,Je le connois evidanment,2,l-311r-1-14,311r,1,
15,Par .i. lieu gent,2,l-311r-1-15,311r,1,
16,Noble excellent,2,l-311r-1-16,311r,1,
17,La u je choiſi .i. papegant,2,l-311r-1-17,311r,1,
18,Qui pꝛioit amoꝛeuſement,2,l-311r-1-18,311r,1,
19,Et doucement,2,l-311r-1-19,311r,1,
20,De ſentement,2,l-311r-1-20,311r,1,
21,Une Mauuis par douz aſaut,2,l-311r-1-21,311r,1,
22,De cuer gay amoꝛeus et baut,2,l-311r-1-22,311r,1,
23,Li diſoit li miens cuers ſe rent,2,l-311r-1-23,311r,1,
24,Sanz nul defaut,2,l-311r-1-24,311r,1,
25,Ne point ne faut,2,l-311r-1-25,311r,1,
26,De faire vo comendement,2,l-311r-1-26,311r,1,
27,Quar par vous ſui pris et eſpris,3,l-311r-2-1,311r,2,
28,Et entrepꝛis,3,l-311r-2-2,311r,2,
29,Par ſi douz pꝛis,3,l-311r-2-3,311r,2,
30,Que ſe plus que ſouhait avoie,3,l-311r-2-4,311r,2,
31,De touz bien d'umain paradis,3,l-311r-2-5,311r,2,
32,Se m'eſt il vis,3,l-311r-2-6,311r,2,
33,Par vo douz vis,3,l-311r-2-7,311r,2,
34,Que mielz ſouhaidier ne poꝛroie,3,l-311r-2-8,311r,2,
35,Tant ai dedenz mon cuer de joie,3,l-311r-2-9,311r,2,
36,Et eſt d'amours mes cuers ſaiſis,3,l-311r-2-10,311r,2,
37,Qui ſi ſ'eſioie,3,l-311r-2-11,311r,2,
38,Ou que je ſoie,3,l-311r-2-12,311r,2,
39,Qu'il eſt touz en deduit ravis,3,l-311r-2-13,311r,2,
40,Et en ce point a dez ſ'arai,4,l-311r-2-14,311r,2,
41,Tant com vivrai,4,l-311r-2-15,311r,2,
42,Car ſanz eſmai,4,l-311r-2-16,311r,2,
43,Ai demoure toute ma vie,4,l-311r-2-17,311r,2,
44,Depuis que premiers vous amay,4,l-311r-2-18,311r,2,
45,Si ſeruiray,4,l-311r-2-19,311r,2,
46,De vrai cuer gay,4,l-311r-2-20,311r,2,
47,A vous de qui j'eſpoit l'aiie,4,l-311r-2-21,311r,2,
48,Car j'ai eſperence jolie,4,l-311r-2-22,311r,2,
49,A qui du tout m'apoy et cray,4,l-311r-2-23,311r,2,
50,Dont ſanz folie,4,l-311r-2-24,311r,2,
51,Serez ſervie,4,l-311r-2-25,311r,2,
52,Pour la grant valoꝛ qu'en vous ſay,4,l-311r-2-26,311r,2,
53,Premiers pris fin par regarder,5,l-311r-2-27,311r,2,
54,Et aviſer,5,l-311r-2-28,311r,2,
55,Et par penſer,5,l-311r-2-29,311r,2,
56,A la voſtre plaiſant figure,5,l-311r-2-30,311r,2,
57,Qui le cuer me vint enbꝛaſer,5,l-311r-2-31,311r,2,
58,Et alumer,5,l-311r-2-32,311r,2,
59,Sanz entamer,5,l-311r-2-33,311r,2,
60,De ſi amoꝛeuſe pointure,5,l-311r-2-34,311r,2,
61,Que je le ſenz outre meſure,5,l-311r-2-35,311r,2,
62,Par dedenz mon cuer figurer,5,l-311r-2-36,311r,2,
63,Ce m'aſeuure,5,l-311r-2-37,311r,2,
64,De la ſeuure,5,l-311r-2-38,311r,2,
65,Voie de liece trouver,5,l-311v-1-1,311v,1,
66,Car voſtre douz regarz joiex,6,l-311v-1-2,311v,1,
67,M'eſt deliteux,6,l-311v-1-3,311v,1,
68,Et ſauoureux,6,l-311v-1-4,311v,1,
69,Sique la pꝛeng douce subſtance,6,l-311v-1-5,311v,1,
70,Et ce me fait vivre amoureux,6,l-311v-1-6,311v,1,
71,Et deſireux,6,l-311v-1-7,311v,1,
72,D'eſtre ſongueux,6,l-311v-1-8,311v,1,
73,De manoir adés en plaiſence,6,l-311v-1-9,311v,1,
74,Car tres amoureuſe eſperance,6,l-311v-1-10,311v,1,
75,M'i fait vivre comme euureux,6,l-311v-1-11,311v,1,
76,Et ſanz grevance,6,l-311v-1-12,311v,1,
77,Le mien cuer lance,6,l-311v-1-13,311v,1,
78,Poꝛ voſtre amour coꝛs gracieux,6,l-311v-1-14,311v,1,
79,Et ſi ai amoureux deſir,7,l-311v-1-15,311v,1,
80,Pour moi nourrir,7,l-311v-1-16,311v,1,
81,Sanz ja partir,7,l-311v-1-17,311v,1,
82,Du douz noble amoꝛeus repaire,7,l-311v-1-18,311v,1,
83,La u je pris le douz ſouvenir,7,l-311v-1-19,311v,1,
84,Qu'en ſon venir,7,l-311v-1-20,311v,1,
85,Par conioir,7,l-311v-1-21,311v,1,
86,Me fiſt a vous amer atraire,7,l-311v-1-22,311v,1,
